call id,agent,date,time,topic,answered (Y/N),resolved,speed of answer in seconds,avg talk duration,satisfaction rating
ID0001,Diane,"Friday, 1 January, 2021",09:12:58,Contract related,Y,Y,109,143,3
ID0002,Becky,"Friday, 1 January, 2021",09:12:58,Technical Support,Y,N,70,242,3
ID0003,Stewart,"Friday, 1 January, 2021",09:47:31,Contract related,Y,Y,10,131,3
ID0004,Greg,"Friday, 1 January, 2021",09:47:31,Contract related,Y,Y,53,37,2
ID0005,Becky,"Friday, 1 January, 2021",10:00:29,Payment related,Y,Y,95,60,3
ID0006,Stewart,"Friday, 1 January, 2021",10:00:29,Technical Support,N,N,,0,
ID0007,Diane,"Friday, 1 January, 2021",10:22:05,Payment related,Y,Y,24,220,2
ID0008,Diane,"Friday, 1 January, 2021",10:22:05,Payment related,Y,Y,22,38,4
ID0009,Greg,"Friday, 1 January, 2021",11:13:55,Admin Support,Y,Y,15,398,4
ID0010,Jim,"Friday, 1 January, 2021",11:13:55,Streaming,Y,Y,78,64,3
ID0011,Joe,"Friday, 1 January, 2021",11:15:22,Payment related,N,N,,0,
ID0012,Greg,"Friday, 1 January, 2021",11:15:22,Payment related,Y,Y,50,32,4
ID0013,Joe,"Friday, 1 January, 2021",11:52:48,Payment related,Y,Y,84,214,3
ID0014,Martha,"Friday, 1 January, 2021",11:52:48,Contract related,Y,Y,89,344,3
ID0015,Becky,"Friday, 1 January, 2021",11:55:41,Admin Support,Y,Y,48,227,4
ID0016,Becky,"Friday, 1 January, 2021",11:55:41,Admin Support,Y,Y,63,326,2
ID0017,Greg,"Friday, 1 January, 2021",11:57:07,Technical Support,Y,Y,45,332,5
ID0018,Becky,"Friday, 1 January, 2021",11:57:07,Admin Support,N,N,,0,
ID0019,Jim,"Friday, 1 January, 2021",12:01:26,Streaming,N,N,,0,
ID0020,Jim,"Friday, 1 January, 2021",12:01:26,Contract related,Y,Y,101,147,3
ID0021,Jim,"Friday, 1 January, 2021",12:02:53,Technical Support,Y,Y,74,322,5
ID0022,Dan,"Friday, 1 January, 2021",12:02:53,Admin Support,Y,Y,89,350,5
ID0023,Martha,"Friday, 1 January, 2021",12:02:53,Technical Support,N,N,,0,
ID0024,Joe,"Friday, 1 January, 2021",12:02:53,Technical Support,Y,Y,68,325,2
ID0025,Diane,"Friday, 1 January, 2021",12:30:14,Streaming,Y,Y,97,249,3
ID0026,Dan,"Friday, 1 January, 2021",12:30:14,Payment related,N,N,,0,
ID0027,Joe,"Friday, 1 January, 2021",12:40:19,Streaming,Y,Y,39,240,3
ID0028,Martha,"Friday, 1 January, 2021",12:40:19,Contract related,Y,Y,51,154,4
ID0029,Joe,"Friday, 1 January, 2021",12:40:19,Technical Support,Y,Y,106,129,4
ID0030,Stewart,"Friday, 1 January, 2021",12:40:19,Streaming,Y,Y,107,355,3
ID0031,Joe,"Friday, 1 January, 2021",13:24:58,Admin Support,Y,Y,22,308,3
ID0032,Joe,"Friday, 1 January, 2021",13:24:58,Streaming,Y,Y,122,128,4
ID0033,Diane,"Friday, 1 January, 2021",13:33:36,Technical Support,Y,Y,57,409,3
ID0034,Jim,"Friday, 1 January, 2021",13:33:36,Payment related,Y,N,53,104,2
ID0035,Becky,"Friday, 1 January, 2021",13:42:14,Streaming,Y,Y,119,91,5
ID0036,Diane,"Friday, 1 January, 2021",13:42:14,Streaming,N,N,,0,
ID0037,Martha,"Friday, 1 January, 2021",13:42:14,Technical Support,Y,N,20,72,2
ID0038,Joe,"Friday, 1 January, 2021",13:42:14,Technical Support,Y,Y,52,36,3
ID0039,Stewart,"Friday, 1 January, 2021",14:38:24,Contract related,Y,Y,74,401,1
ID0040,Greg,"Friday, 1 January, 2021",14:38:24,Technical Support,Y,Y,49,149,3
ID0041,Jim,"Friday, 1 January, 2021",14:47:02,Technical Support,Y,Y,27,129,5
ID0042,Greg,"Friday, 1 January, 2021",14:47:02,Contract related,Y,Y,100,294,5
ID0043,Diane,"Friday, 1 January, 2021",14:47:02,Technical Support,Y,Y,45,381,3
ID0044,Becky,"Friday, 1 January, 2021",14:47:02,Payment related,Y,Y,98,194,5
ID0045,Diane,"Friday, 1 January, 2021",15:44:38,Admin Support,Y,Y,25,313,5
ID0046,Jim,"Friday, 1 January, 2021",15:44:38,Contract related,N,N,,0,
ID0047,Dan,"Friday, 1 January, 2021",17:13:55,Admin Support,Y,Y,107,142,3
